latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4809,-1.3036,313.8,1.3,1.1,2013-01-02,1048,Terra,MODIS,74,6.2,275,22.8,D,0
41.5108,0.3551,305.3,1.1,1,2013-01-02,1048,Terra,MODIS,61,6.2,271.6,10.6,D,0
41.1776,1.2359,313.7,1,1,2013-01-03,0206,Aqua,MODIS,88,6.2,274.9,18.5,N,0
39.3647,-2.4885,306.4,1,1,2013-01-03,1311,Aqua,MODIS,63,6.2,284,8.9,D,0
39.4295,-2.4244,313.8,1,1,2013-01-03,1311,Aqua,MODIS,74,6.2,286.7,13.8,D,0
37.2024,-3.7013,301.1,1.2,1.1,2013-01-03,1311,Aqua,MODIS,45,6.2,286.2,6.7,D,0
39.3514,-2.5722,315.4,1.1,1,2013-01-03,1311,Aqua,MODIS,76,6.2,286.4,15.7,D,0
39.9116,-2.8291,349.4,1.1,1,2013-01-03,1311,Aqua,MODIS,83,6.2,289.4,66,D,0
39.3075,-2.6104,309.5,1.1,1,2013-01-03,1311,Aqua,MODIS,69,6.2,286.1,11.3,D,0
39.6111,-2.0981,300.5,1,1,2013-01-03,1311,Aqua,MODIS,38,6.2,285.1,4.9,D,0
39.4808,-2.745,300.3,1.1,1,2013-01-03,1311,Aqua,MODIS,35,6.2,285.2,4.7,D,0
39.4718,-2.7425,304.3,1.1,1,2013-01-03,1311,Aqua,MODIS,59,6.2,286,7,D,0
40.0351,-3.3263,300.7,1.1,1,2013-01-03,1311,Aqua,MODIS,41,6.2,284.9,6.1,D,0
38.0445,-1.6877,300.9,1,1,2013-01-03,1311,Aqua,MODIS,43,6.2,284.1,6,D,0
39.4151,-2.6324,302.9,1.1,1,2013-01-03,1311,Aqua,MODIS,54,6.2,284.8,6.8,D,0
39.2077,-2.2492,304.5,1,1,2013-01-03,1311,Aqua,MODIS,59,6.2,285.5,7.5,D,0
39.6476,-2.8024,302.3,1.1,1,2013-01-03,1311,Aqua,MODIS,49,6.2,285.2,6.4,D,0
41.4791,-2.5936,301.3,1,1,2013-01-03,1312,Aqua,MODIS,46,6.2,283.1,6.6,D,0
41.1753,1.2333,304,2.8,1.6,2013-01-03,2236,Terra,MODIS,58,6.2,275.6,45.2,N,0
41.1776,1.2276,307.8,2.8,1.6,2013-01-03,2236,Terra,MODIS,73,6.2,275.5,58.9,N,0
41.18,1.2502,304.4,3.7,1.8,2013-01-04,0248,Aqua,MODIS,60,6.2,275.1,69.8,N,0
41.1836,1.2317,311.5,1.3,1.1,2013-01-04,1035,Terra,MODIS,71,6.2,285.1,18.5,D,0
41.1868,1.2364,316.2,1,1,2013-01-05,0154,Aqua,MODIS,93,6.2,279.3,19.4,N,0
41.1778,1.2343,318.5,1,1,2013-01-05,0154,Aqua,MODIS,97,6.2,279.4,21.7,N,0
41.3824,-0.8916,304.7,1.3,1.1,2013-01-05,1118,Terra,MODIS,59,6.2,287.6,10.1,D,0
39.9525,-3.4143,307.6,1.1,1,2013-01-05,1119,Terra,MODIS,62,6.2,284.3,10.6,D,0
39.9545,-3.4265,303.4,1.1,1,2013-01-05,1119,Terra,MODIS,53,6.2,283.7,7.8,D,0
38.0449,-4.923,301.9,1,1,2013-01-05,1119,Terra,MODIS,49,6.2,283.2,7,D,0
39.9342,-3.4636,300.9,1.1,1,2013-01-05,1119,Terra,MODIS,42,6.2,284.5,6.3,D,0
39.8366,-2.5642,304,1.1,1.1,2013-01-05,1119,Terra,MODIS,58,6.2,285.3,8.6,D,0
38.0025,-4.312,303.2,1.1,1,2013-01-05,1119,Terra,MODIS,48,6.2,284.6,7.9,D,0
42.5579,0.7249,327.1,1.8,1.3,2013-01-05,2224,Terra,MODIS,100,6.2,280.7,70,N,0
42.162,-6.9932,306.7,2.1,1.4,2013-01-06,1201,Terra,MODIS,64,6.2,285.3,30.7,D,0
41.9643,-8.082,310,1,1,2013-01-06,1343,Aqua,MODIS,69,6.2,286.1,11.4,D,0
42.1606,-6.9902,301.1,1.1,1,2013-01-06,1343,Aqua,MODIS,44,6.2,285.4,6.6,D,0
42.159,-7.0031,305.7,1.1,1,2013-01-06,1343,Aqua,MODIS,62,6.2,286.4,9.7,D,0
41.9553,-8.0796,304.2,1,1,2013-01-06,1343,Aqua,MODIS,58,6.2,286.3,7.3,D,0
42.3177,-6.7526,300.3,2.8,1.6,2013-01-06,2307,Terra,MODIS,23,6.2,273.3,39,N,0
38.7301,-0.7368,309.9,1.1,1,2013-01-07,1107,Terra,MODIS,69,6.2,286.2,11.3,D,0
38.7281,-0.7246,326.7,1.1,1,2013-01-07,1107,Terra,MODIS,85,6.2,286.2,28.4,D,0
37.3157,-3.2319,306.5,2.6,1.5,2013-01-07,1246,Aqua,MODIS,55,6.2,285.8,33.6,D,0
38.343,-1.6929,311.9,2,1.4,2013-01-07,1246,Aqua,MODIS,72,6.2,288.6,30.7,D,0
37.3237,-3.2308,305.6,2.6,1.5,2013-01-07,1246,Aqua,MODIS,54,6.2,286.4,31.3,D,0
36.778,-4.5517,300.5,2.7,1.6,2013-01-08,1150,Terra,MODIS,38,6.2,288.6,20,D,0
38.8005,-6.8303,312,1,1,2013-01-08,1329,Aqua,MODIS,72,6.2,287.9,12.1,D,0
37.0354,-5.9148,303.3,1,1,2013-01-08,1329,Aqua,MODIS,55,6.2,291.5,4.7,D,0
38.8426,-6.4401,304,1,1,2013-01-08,1329,Aqua,MODIS,58,6.2,288.1,6.5,D,0
38.8498,-6.5143,301.5,1,1,2013-01-08,1329,Aqua,MODIS,47,6.2,287.6,5.1,D,0
38.8587,-6.5167,302.1,1,1,2013-01-08,1329,Aqua,MODIS,50,6.2,287.7,5.4,D,0
38.5989,-6.8143,301.8,1,1,2013-01-08,1329,Aqua,MODIS,49,6.2,287.3,5.5,D,0
38.8023,-6.8185,303.8,1,1,2013-01-08,1329,Aqua,MODIS,57,6.2,287.6,6.3,D,0
36.7692,-4.5428,303.3,1,1,2013-01-08,1329,Aqua,MODIS,56,6.2,292.5,4.4,D,0
42.3497,-1.5546,310.5,1.4,1.2,2013-01-08,1330,Aqua,MODIS,70,6.2,286,17.9,D,0
42.3394,-1.5527,301.3,1.4,1.2,2013-01-08,1330,Aqua,MODIS,35,6.2,285.9,8.5,D,0
43.5269,-5.7305,301.4,1,1,2013-01-08,1331,Aqua,MODIS,47,6.2,282.5,6.3,D,2
40.4576,-1.2619,301.8,1,1,2013-01-10,1317,Aqua,MODIS,46,6.2,282.5,6.2,D,0
41.0087,-4.8674,310,1.1,1,2013-01-10,1318,Aqua,MODIS,66,6.2,284.8,11.2,D,0
41.0449,-4.7615,302.2,1.1,1,2013-01-10,1318,Aqua,MODIS,48,6.2,284.3,6.5,D,0
41.0157,-4.8824,306.7,1.1,1,2013-01-10,1318,Aqua,MODIS,57,6.2,285.1,8.8,D,0
41.6719,-4.8422,301,1,1,2013-01-10,1318,Aqua,MODIS,43,6.2,283.9,6.4,D,0
41.2024,-4.8191,304.4,1.1,1,2013-01-10,1318,Aqua,MODIS,55,6.2,285.3,7.4,D,0
39.8197,-0.1312,302.9,1,1,2013-01-12,1305,Aqua,MODIS,41,6.2,290.1,5,D,0
38.2931,-1.7665,302.3,1.1,1,2013-01-17,1323,Aqua,MODIS,52,6.2,287.7,5.3,D,0
39.3287,-5.3548,308.7,1,1,2013-01-17,1323,Aqua,MODIS,59,6.2,282,11.1,D,0
