year,month,gid_0,country,gid_1,region,pollutant,closed_shrublands,croplands,forest,grassland,open_shrublands,peatlands,savanna,woody_savanna
2002,1,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,1.0121156,1.1404815
2002,1,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,28.603267,32.230999
2002,1,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,709.80108,799.82464
2002,1,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.092410553,0.10413092
2002,1,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,1.7161961,1.93386
2002,2,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,5.0848346,0.0,0.0,0.0,0.0,1.7921852
2002,2,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,115.76113,0.0,0.0,0.0,0.0,50.648713
2002,2,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,1697.4693,0.0,0.0,0.0,0.0,1256.8673
2002,2,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.28128872,0.0,0.0,0.0,0.0,0.1636343
2002,2,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,3.2456392,0.0,0.0,0.0,0.0,3.0389229
2002,3,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,4,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16292593
2002,4,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6044285
2002,4,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.26066
2002,4,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014875845
2002,4,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27626571
2002,5,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,5,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,5,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,5,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,5,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,6,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,5.0848346,0.0,0.0,0.0,0.0,0.48877778
2002,6,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,115.76113,0.0,0.0,0.0,0.0,13.813285
2002,6,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,1697.4693,0.0,0.0,0.0,0.0,342.78199
2002,6,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.28128872,0.0,0.0,0.0,0.0,0.044627536
2002,6,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,3.2456392,0.0,0.0,0.0,0.0,0.82879714
2002,7,ESP,Spain,ESP.12_1,Galicia,ch4,1.3182189,0.0,30.509007,0.40484624,0.0,0.0,0.20242312,1.3034074
2002,7,ESP,Spain,ESP.12_1,Galicia,co,37.254014,0.0,694.56679,11.441307,0.0,0.0,5.7206535,36.835428
2002,7,ESP,Spain,ESP.12_1,Galicia,co2,924.47268,0.0,10184.816,283.92043,0.0,0.0,141.96022,914.0853
2002,7,ESP,Spain,ESP.12_1,Galicia,n2o,0.12035912,0.0,1.6877323,0.036964221,0.0,0.0,0.018482111,0.11900676
2002,7,ESP,Spain,ESP.12_1,Galicia,nox,2.2352409,0.0,19.473835,0.68647843,0.0,0.0,0.34323922,2.2101257
2002,8,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,30.509007,5.6678473,0.0,0.0,9.9187328,27.20863
2002,8,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,694.56679,160.1783,0.0,0.0,280.31202,768.93955
2002,8,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,10184.816,3974.8861,0.0,0.0,6956.0506,19081.531
2002,8,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,1.6877323,0.5174991,0.0,0.0,0.90562342,2.4842662
2002,8,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,19.473835,9.6106981,0.0,0.0,16.818722,46.136374
2002,9,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,101.69669,1.4169618,0.0,0.0,3.0363468,34.214445
2002,9,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,2315.2226,40.044574,0.0,0.0,85.809802,966.92997
2002,9,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,33949.386,993.72151,0.0,0.0,2129.4032,23994.739
2002,9,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,5.6257744,0.12937477,0.0,0.0,0.27723166,3.1239275
2002,9,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,64.912784,2.4026745,0.0,0.0,5.1485883,58.0158
2002,10,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,10,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,10,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,10,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,10,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,11,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,11,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,11,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,11,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,11,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,3,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,10.169669,0.60726936,0.0,0.0,8.0969248,19.388185
2003,3,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,231.52226,17.16196,0.0,0.0,228.82614,547.92699
2003,3,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,3394.9386,425.88065,0.0,0.0,5678.4087,13597.019
2003,3,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.56257744,0.055446332,0.0,0.0,0.73928443,1.7702256
2003,3,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,6.4912784,1.0297177,0.0,0.0,13.729569,32.87562
2003,4,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,1.0121156,0.0,0.0,3.2387699,11.730667
2003,4,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,28.603267,0.0,0.0,91.530456,331.51885
2003,4,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,709.80108,0.0,0.0,2271.3635,8226.7677
2003,4,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.092410553,0.0,0.0,0.29571377,1.0710609
2003,4,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,1.7161961,0.0,0.0,5.4918275,19.891131
2003,5,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,6,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.31876813,116.9512,0.0,0.0,0.0,1.619385,17.921852
2003,6,ESP,Spain,ESP.12_1,Galicia,co,0.0,10.861729,2662.506,0.0,0.0,0.0,45.765228,506.48713
2003,6,ESP,Spain,ESP.12_1,Galicia,co2,0.0,178.86434,39041.794,0.0,0.0,0.0,1135.6817,12568.673
2003,6,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0082643589,6.4696406,0.0,0.0,0.0,0.14785689,1.636343
2003,6,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.29515567,74.649702,0.0,0.0,0.0,2.7459137,30.389229
2003,7,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,10.169669,0.0,0.0,0.0,0.0,0.0
2003,7,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,231.52226,0.0,0.0,0.0,0.0,0.0
2003,7,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,3394.9386,0.0,0.0,0.0,0.0,0.0
2003,7,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.56257744,0.0,0.0,0.0,0.0,0.0
2003,7,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,6.4912784,0.0,0.0,0.0,0.0,0.0
2003,8,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,177.96921,3.2387699,0.0,88.405024,1.619385,32.422259
2003,8,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,4051.6396,91.530456,0.0,879.80003,45.765228,916.28126
2003,8,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,59411.426,2271.3635,0.0,5788.8292,1135.6817,22737.872
2003,8,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,9.8451053,0.29571377,0.0,0.0,0.14785689,2.9602932
2003,8,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,113.59737,5.4918275,0.0,0.0,2.7459137,54.976877
2003,9,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.31876813,40.678677,1.619385,0.0,0.0,1.619385,25.742296
2003,9,ESP,Spain,ESP.12_1,Galicia,co,0.0,10.861729,926.08906,45.765228,0.0,0.0,45.765228,727.4997
2003,9,ESP,Spain,ESP.12_1,Galicia,co2,0.0,178.86434,13579.755,1135.6817,0.0,0.0,1135.6817,18053.185
2003,9,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0082643589,2.2503098,0.14785689,0.0,0.0,0.14785689,2.3503836
2003,9,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.29515567,25.965114,2.7459137,0.0,0.0,2.7459137,43.649983
2003,10,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.40484624,0.0,0.0,0.0,0.81462963
2003,10,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,11.441307,0.0,0.0,0.0,23.022142
2003,10,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,283.92043,0.0,0.0,0.0,571.30331
2003,10,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.036964221,0.0,0.0,0.0,0.074379227
2003,10,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.68647843,0.0,0.0,0.0,1.3813286
2003,11,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,11,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,11,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,11,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,11,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,1,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,5.0848346,0.0,0.0,0.0,0.0,0.0
2004,1,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,115.76113,0.0,0.0,0.0,0.0,0.0
