year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2002,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2,ESP,Spain,ESP.12_1,Galicia,22535.052,1202.291,228.75,165.325,125.476,112.97,118.445,47.629,13.854,7.024,29.088
2002,3,ESP,Spain,ESP.12_1,Galicia,34622.885,1515.237,238.283,183.307,106.545,110.338,97.419,54.264,13.718,8.995,67.585
2002,4,ESP,Spain,ESP.12_1,Galicia,80636.228,3897.548,672.776,498.031,335.511,326.068,312.258,148.58,39.561,23.075,133.829
2002,5,ESP,Spain,ESP.12_1,Galicia,1879.408,70.227,9.475,7.992,3.344,3.79,2.921,2.163,0.535,0.412,4.347
2002,6,ESP,Spain,ESP.12_1,Galicia,12595.304,654.583,128.133,94.554,72.256,60.708,68.521,24.677,7.973,3.727,15.997
2002,7,ESP,Spain,ESP.12_1,Galicia,23974.571,1258.371,211.977,148.545,102.092,112.789,94.293,53.219,11.813,7.768,38.098
2002,8,ESP,Spain,ESP.12_1,Galicia,296431.465,14764.266,2646.423,1946.819,1372.896,1285.246,1285.635,567.309,157.847,86.778,456.132
2002,9,ESP,Spain,ESP.12_1,Galicia,157724.952,7731.204,1414.033,1054.951,749.894,666.995,704.934,287.34,86.03,44.687,239.903
2002,10,ESP,Spain,ESP.12_1,Galicia,3512.476,194.549,35.733,25.067,18.891,18.636,17.718,8.193,2.084,1.173,4.596
2002,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,ESP,Spain,ESP.12_1,Galicia,2881.854,153.979,30.796,22.572,17.673,14.698,16.798,5.879,1.925,0.875,3.36
