"iso","adm1","adm2","alert__year","alert__week","alert__count","confidence__cat"
"ESP",12,2,2016,32,4,"h"
"ESP",12,3,2018,24,1,"n"
"ESP",12,3,2023,34,1,"n"
"ESP",12,3,2012,2,2,"n"
"ESP",12,4,2017,31,1,"h"
"ESP",12,3,2019,36,2,"l"
"ESP",12,3,2013,38,5,"h"
"ESP",12,4,2020,37,5,"n"
"ESP",12,3,2018,34,3,"h"
"ESP",12,3,2012,10,1,"l"
"ESP",12,2,2014,25,1,"n"
"ESP",12,3,2020,32,3,"l"
"ESP",12,1,2012,7,3,"n"
"ESP",12,3,2015,38,1,"l"
"ESP",12,1,2020,25,1,"n"
"ESP",12,1,2015,33,2,"h"
"ESP",12,2,2019,36,5,"h"
"ESP",12,4,2012,9,3,"n"
"ESP",12,1,2017,31,2,"h"
"ESP",12,4,2023,6,3,"n"
"ESP",12,3,2022,2,2,"n"
"ESP",12,1,2013,36,9,"h"
"ESP",12,1,2012,9,2,"h"
"ESP",12,3,2016,35,8,"h"
"ESP",12,3,2022,6,1,"h"
"ESP",12,3,2021,37,1,"l"
"ESP",12,4,2016,34,3,"n"
"ESP",12,4,2018,41,1,"n"
"ESP",12,2,2017,15,12,"n"
"ESP",12,4,2017,16,4,"n"
"ESP",12,3,2012,11,7,"h"
"ESP",12,1,2022,34,3,"h"
"ESP",12,4,2015,26,5,"n"
"ESP",12,2,2015,30,8,"h"
"ESP",12,2,2017,41,44,"h"
"ESP",12,3,2012,34,6,"n"
"ESP",12,2,2023,41,1,"h"
"ESP",12,2,2013,49,1,"n"
"ESP",12,1,2017,24,1,"l"
"ESP",12,3,2019,37,1,"l"
"ESP",12,4,2015,1,1,"n"
"ESP",12,4,2018,36,1,"l"
"ESP",12,2,2024,6,1,"n"
"ESP",12,3,2013,16,1,"n"
"ESP",12,3,2013,36,4,"n"
"ESP",12,2,2021,23,8,"n"
"ESP",12,4,2021,22,1,"l"
"ESP",12,1,2017,10,1,"n"
"ESP",12,3,2015,21,3,"n"
"ESP",12,4,2013,38,1,"l"
"ESP",12,4,2013,38,3,"n"
"ESP",12,1,2022,18,1,"l"
"ESP",12,4,2012,31,1,"l"
"ESP",12,1,2022,30,1,"n"
