latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5279,-5.7284,300.5,1,1,2010-01-07,0232,Aqua,MODIS,29,6.2,274.5,9.1,N,2
38.9553,-5.7725,310.5,1.1,1,2010-01-09,1326,Aqua,MODIS,66,6.2,280.3,14.1,D,0
43.5269,-5.7279,327.6,1,1,2010-01-11,1130,Terra,MODIS,85,6.2,278.1,31.6,D,2
41.8217,0.5903,302.7,1.1,1,2010-01-15,1106,Terra,MODIS,53,6.2,283.1,8.5,D,0
37.2588,-1.8955,300.8,1,1,2010-01-15,1107,Terra,MODIS,42,6.2,285.9,4.9,D,0
37.8563,-3.0773,300.1,1,1,2010-01-18,1319,Aqua,MODIS,25,6.2,287.6,4.2,D,0
37.6178,-1.6358,302.2,1,1,2010-01-18,1319,Aqua,MODIS,51,6.2,289.3,4.5,D,0
38.6988,-3.7289,304.5,1,1,2010-01-18,1319,Aqua,MODIS,45,6.2,286.6,6.2,D,0
39.4398,-1.9211,300.1,1.1,1,2010-01-22,1113,Terra,MODIS,26,6.2,281.8,6.4,D,0
36.4395,-5.3251,305.3,1,1,2010-01-22,1114,Terra,MODIS,61,6.2,287.6,7.3,D,0
38.9582,-5.7741,313.7,1.1,1,2010-01-25,1325,Aqua,MODIS,74,6.2,286.9,14.4,D,0
39.9998,-4.1789,300.4,1,1,2010-01-25,1326,Aqua,MODIS,33,6.2,282.5,4.6,D,0
42.3172,-8.3107,348.6,1,1,2010-01-27,1130,Terra,MODIS,95,6.2,280.7,64,D,0
42.3155,-8.2986,314.8,1,1,2010-01-27,1130,Terra,MODIS,75,6.2,277.2,17.4,D,0
42.313,-8.4114,330.1,1,1,2010-01-27,1131,Terra,MODIS,87,6.2,280,33.2,D,0
42.3402,-8.3606,306.8,2.6,1.6,2010-01-28,1213,Terra,MODIS,64,6.2,278.3,44.5,D,0
42.3487,-8.3619,305.2,2.6,1.6,2010-01-28,1213,Terra,MODIS,61,6.2,279.1,40.8,D,0
38.7097,-3.716,304.4,1.1,1,2010-01-29,1119,Terra,MODIS,51,6.2,281.8,8.7,D,0
40.1567,-4.4132,306,1,1,2010-01-29,1119,Terra,MODIS,63,6.2,281.7,9.4,D,0
38.8617,-0.5881,313.8,1.1,1,2010-01-31,1107,Terra,MODIS,74,6.2,284.8,15.4,D,0
38.8566,-0.593,314.4,1.7,1.3,2010-01-31,1249,Aqua,MODIS,75,6.2,286.2,29.6,D,0
37.4581,-7.2902,303.9,1.1,1.1,2010-02-01,1331,Aqua,MODIS,57,6.2,291.3,5.8,D,0
37.7048,-6.6765,303.6,1.1,1,2010-02-01,1331,Aqua,MODIS,56,6.2,289.2,6.4,D,0
37.6584,-6.5606,303.5,1.1,1,2010-02-01,1331,Aqua,MODIS,56,6.2,289.7,5.8,D,0
38.7526,-6.9612,302.8,1.1,1,2010-02-01,1332,Aqua,MODIS,54,6.2,286.7,5.9,D,0
39.8005,-3.9383,304,1,1,2010-02-01,1332,Aqua,MODIS,58,6.2,287.3,5.8,D,0
38.7507,-6.9731,300.4,1.1,1,2010-02-01,1332,Aqua,MODIS,34,6.2,287.3,4.4,D,0
39.2738,-5.2275,307.5,1,1,2010-02-01,1332,Aqua,MODIS,62,6.2,287.2,9,D,0
43.4828,-3.6633,300.5,1.4,1.2,2010-02-03,1136,Terra,MODIS,0,6.2,284.1,9.9,D,0
42.5852,-8.4349,306.5,1,1,2010-02-03,1137,Terra,MODIS,64,6.2,279.7,10.1,D,0
40.8985,-3.0201,304.1,1.7,1.3,2010-02-03,1137,Terra,MODIS,58,6.2,276.6,19,D,0
42.5833,-8.4227,309.2,1,1,2010-02-03,1137,Terra,MODIS,68,6.2,279.2,12,D,0
39.6881,-0.8055,304.5,1,1,2010-02-03,1319,Aqua,MODIS,59,6.2,291.5,5.6,D,0
40.0008,-0.0869,304.3,1.1,1,2010-02-03,1319,Aqua,MODIS,59,6.2,288.3,6.9,D,0
41.8468,-0.2608,300.8,1.1,1.1,2010-02-03,1320,Aqua,MODIS,42,6.2,285.9,5.4,D,0
43.4793,-3.6653,300.1,1,1,2010-02-03,1320,Aqua,MODIS,24,6.2,286.1,5.6,D,0
43.4775,-3.6775,305.8,1,1,2010-02-03,1320,Aqua,MODIS,47,6.2,286.2,8.7,D,0
41.8562,-0.2628,300,1.1,1.1,2010-02-03,1320,Aqua,MODIS,10,6.2,285.3,4.9,D,0
42.2549,-6.3445,301.5,1.1,1.1,2010-02-03,1320,Aqua,MODIS,47,6.2,278.6,9,D,0
42.2525,-6.3582,305.6,1.1,1.1,2010-02-03,1320,Aqua,MODIS,62,6.2,279.7,12,D,0
40.9021,-3.0246,338.1,1,1,2010-02-03,1320,Aqua,MODIS,91,6.2,287.9,41.2,D,0
43.5226,-5.7385,306.2,1.1,1,2010-02-03,1321,Aqua,MODIS,63,6.2,287.2,9.6,D,2
28.1562,-16.4502,312.3,1.1,1,2010-02-09,1418,Aqua,MODIS,42,6.2,294.9,7.7,D,0
42.7367,-8.1467,335.7,1,1,2010-02-12,1130,Terra,MODIS,90,6.2,279.2,40.9,D,0
42.3971,-8.4211,301.5,1,1,2010-02-12,1131,Terra,MODIS,47,6.2,278.2,8.4,D,0
39.1567,-0.556,305.7,1,1,2010-02-12,1313,Aqua,MODIS,62,6.2,286.1,7.5,D,0
41.7654,0.1243,300.6,1,1,2010-02-12,1314,Aqua,MODIS,39,6.2,284.8,5.3,D,0
42.7448,-8.1704,306.4,1.6,1.2,2010-02-12,1314,Aqua,MODIS,63,6.2,279.3,20.1,D,0
41.5771,0.3079,300.8,1,1,2010-02-12,1314,Aqua,MODIS,42,6.2,284.7,5.6,D,0
41.5669,0.8094,301.5,1.1,1,2010-02-12,1314,Aqua,MODIS,47,6.2,282.8,6.9,D,0
42.9339,-9.1316,323,2,1.4,2010-02-15,2308,Terra,MODIS,100,6.2,270,72.3,N,0
43.5294,-5.7295,303.7,1.9,1.3,2010-02-18,1053,Terra,MODIS,57,6.2,285.5,17.9,D,0
43.5247,-5.734,328.1,1.1,1,2010-02-19,1321,Aqua,MODIS,85,6.2,282.5,33,D,2
41.9267,0.1827,306.5,1,1,2010-02-21,0202,Aqua,MODIS,68,6.2,270.3,13.3,N,0
43.3602,-5.1522,303.1,1,1,2010-02-24,0232,Aqua,MODIS,53,6.2,277.4,9.7,N,0
43.4132,-5.0792,307.3,1,1,2010-02-24,0232,Aqua,MODIS,71,6.2,276.1,12.2,N,0
28.1538,-16.4698,311.7,1.1,1,2010-02-24,1159,Terra,MODIS,50,6.2,295.7,6.1,D,0
37.4306,-1.6512,302.9,1,1,2010-02-25,1101,Terra,MODIS,46,6.2,285.2,3.8,D,0
28.1306,-16.4645,318.9,1.1,1,2010-02-25,1418,Aqua,MODIS,53,6.2,302.1,9.8,D,0
28.1583,-16.4696,315.3,1.1,1,2010-02-25,1418,Aqua,MODIS,63,6.2,301.2,7.1,D,0
43.2561,-4.3588,300.6,1.1,1,2010-02-25,2206,Terra,MODIS,30,6.2,278.9,9.1,N,0
43.2845,-3.7263,302.9,1,1,2010-02-25,2206,Terra,MODIS,52,6.2,277.7,9.1,N,0
43.2932,-3.7225,304.8,1,1,2010-02-25,2206,Terra,MODIS,62,6.2,278.9,11.1,N,0
43.2139,-4.3537,307.2,1,1,2010-02-26,0220,Aqua,MODIS,71,6.2,277,13.1,N,0
43.5216,-5.7395,303.7,1.3,1.1,2010-02-26,1142,Terra,MODIS,57,6.2,288.9,9.5,D,2
43.2079,-3.8258,304.8,1.7,1.3,2010-02-26,1142,Terra,MODIS,53,6.2,278.6,17.2,D,0
43.2123,-3.847,315.5,1.7,1.3,2010-02-26,1142,Terra,MODIS,76,6.2,276.6,33.5,D,0
43.2048,-3.8537,304.3,1,1,2010-02-26,1326,Aqua,MODIS,59,6.2,274.5,8.6,D,0
43.3983,-4.8156,343.3,1.5,1.2,2010-02-27,2154,Terra,MODIS,100,6.2,288.1,92.9,N,0
43.4051,-4.8381,305.5,1.5,1.2,2010-02-27,2154,Terra,MODIS,24,6.2,285.2,15.2,N,0
43.3951,-4.8316,335.1,1.5,1.2,2010-02-27,2154,Terra,MODIS,100,6.2,285.4,68.5,N,0
43.5418,-5.831,302.3,1,1,2010-02-28,1130,Terra,MODIS,51,6.2,288.9,6,D,0
43.5256,-5.7304,305.7,1,1,2010-02-28,1130,Terra,MODIS,62,6.2,289.5,7.3,D,2
43.4253,-4.9522,305.5,1.1,1,2010-02-28,1130,Terra,MODIS,61,6.2,286.2,8.9,D,0
43.4335,-5.115,309.5,1.1,1,2010-02-28,1130,Terra,MODIS,69,6.2,286.8,11.3,D,0
40.357,-3.7073,303.1,1.1,1.1,2010-02-28,1313,Aqua,MODIS,55,6.2,290.8,4.1,D,0
43.4435,-5.2205,315.6,1.1,1.1,2010-02-28,1314,Aqua,MODIS,64,6.2,282,18.5,D,0
42.2142,-1.7272,311.3,1,1,2010-02-28,1314,Aqua,MODIS,68,6.2,293.7,8.2,D,0
42.1119,-1.6566,300.8,2,1.4,2010-03-01,1035,Terra,MODIS,42,6.2,288.1,10,D,0
42.1167,-1.6742,300.5,2,1.4,2010-03-01,1035,Terra,MODIS,37,6.2,288.7,9.1,D,0
39.096,-0.435,302.3,1.5,1.2,2010-03-01,1036,Terra,MODIS,52,6.2,289.9,8.6,D,0
39.0993,-0.4465,312.9,1.5,1.2,2010-03-01,1036,Terra,MODIS,73,6.2,290.5,20.5,D,0
39.0978,-0.4528,306.5,1.5,1.2,2010-03-01,1036,Terra,MODIS,64,6.2,290.4,13,D,0
41.9643,-1.2149,300.1,1.2,1.1,2010-03-02,1118,Terra,MODIS,26,6.2,284.2,5.4,D,0
41.7312,0.3332,304.7,1.1,1,2010-03-04,1106,Terra,MODIS,60,6.2,287.2,7.7,D,0
43.5236,-5.7302,301.7,1.1,1,2010-03-04,2213,Terra,MODIS,43,6.2,278.4,9.4,N,2
