time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),is_day (),sunshine_duration (s),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),year_weather,season_weather,month_weather,week_weather,day_of_week_weather,hour_weather,day_of_month_weather,day_of_year_weather,latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,bright_t31,frp,daynight,type,datetime,year_fire,season_fire,month_fire,week_fire,day_of_week_fire,hour_fire,day_of_month_fire,day_of_year_fire
2001-09-14 22:00:00,13.1,75.0,8.8,0.0,1017.6,955.4,3.0,0.03,0.37,17.9,36.0,16.1,17.9,17.3,16.3,0.14,0.21,0.232,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0,42.7279,-8.5766,301.8,2.5,1.5,2001-09-14,22:00:00,45.0,284.3,26.3,N,0.0,2001-09-14 22:00:00,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0
2001-09-14 22:00:00,13.1,75.0,8.8,0.0,1017.6,955.4,3.0,0.03,0.37,17.9,36.0,16.1,17.9,17.3,16.3,0.14,0.21,0.232,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0,42.7208,-8.6068,317.6,2.5,1.5,2001-09-14,22:00:00,95.0,285.2,70.1,N,0.0,2001-09-14 22:00:00,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0
2001-09-14 22:00:00,13.1,75.0,8.8,0.0,1017.6,955.4,3.0,0.03,0.37,17.9,36.0,16.1,17.9,17.3,16.3,0.14,0.21,0.232,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0,42.7338,-8.6131,312.1,2.5,1.5,2001-09-14,22:00:00,84.0,285.1,51.1,N,0.0,2001-09-14 22:00:00,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0
2001-09-14 22:00:00,13.1,75.0,8.8,0.0,1017.6,955.4,3.0,0.03,0.37,17.9,36.0,16.1,17.9,17.3,16.3,0.14,0.21,0.232,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0,42.7334,-8.5877,320.7,2.5,1.5,2001-09-14,22:00:00,100.0,285.1,80.4,N,0.0,2001-09-14 22:00:00,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0
2001-09-14 22:00:00,13.1,75.0,8.8,0.0,1017.6,955.4,3.0,0.03,0.37,17.9,36.0,16.1,17.9,17.3,16.3,0.14,0.21,0.232,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0,42.7264,-8.617,322.6,2.5,1.5,2001-09-14,22:00:00,100.0,285.4,88.0,N,0.0,2001-09-14 22:00:00,2001.0,4.0,9.0,37,5.0,23.0,14.0,257.0
2003-03-10 11:00:00,9.3,91.0,7.8,0.0,1025.1,961.6,47.0,0.07,0.11,7.7,17.6,7.4,7.1,8.1,8.2,0.372,0.38,0.393,0.406,1.0,3600.0,240.0,80.4,159.6,221.2,504.6,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0,42.3048,-8.5535,303.3,2.2,1.4,2003-03-10,11:00:00,56.0,281.6,19.5,D,0.0,2003-03-10 11:00:00,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0
2003-03-10 11:00:00,9.3,91.0,7.8,0.0,1025.1,961.6,47.0,0.07,0.11,7.7,17.6,7.4,7.1,8.1,8.2,0.372,0.38,0.393,0.406,1.0,3600.0,240.0,80.4,159.6,221.2,504.6,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0,43.1008,-7.032,319.3,1.8,1.3,2003-03-10,11:00:00,79.0,286.1,42.7,D,0.0,2003-03-10 11:00:00,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0
2003-03-10 11:00:00,9.3,91.0,7.8,0.0,1025.1,961.6,47.0,0.07,0.11,7.7,17.6,7.4,7.1,8.1,8.2,0.372,0.38,0.393,0.406,1.0,3600.0,240.0,80.4,159.6,221.2,504.6,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0,43.1026,-7.0531,307.4,1.8,1.3,2003-03-10,11:00:00,65.0,286.1,20.1,D,0.0,2003-03-10 11:00:00,2003.0,2.0,3.0,11,1.0,12.0,10.0,69.0
2003-06-22 22:00:00,19.0,82.0,16.0,0.0,1011.4,950.7,50.0,0.03,0.39,4.5,16.2,21.3,21.7,17.4,12.3,0.18,0.216,0.296,0.374,1.0,639.99,7.3,2.6,4.7,29.5,30.4,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0,43.0411,-7.4093,308.0,1.1,1.1,2003-06-22,22:00:00,50.0,289.3,10.5,N,0.0,2003-06-22 22:00:00,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0
2003-06-22 22:00:00,19.0,82.0,16.0,0.0,1011.4,950.7,50.0,0.03,0.39,4.5,16.2,21.3,21.7,17.4,12.3,0.18,0.216,0.296,0.374,1.0,639.99,7.3,2.6,4.7,29.5,30.4,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0,43.0428,-7.4227,316.2,1.1,1.1,2003-06-22,22:00:00,92.0,290.6,17.5,N,0.0,2003-06-22 22:00:00,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0
2003-06-22 22:00:00,19.0,82.0,16.0,0.0,1011.4,950.7,50.0,0.03,0.39,4.5,16.2,21.3,21.7,17.4,12.3,0.18,0.216,0.296,0.374,1.0,639.99,7.3,2.6,4.7,29.5,30.4,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0,43.0522,-7.4206,313.8,1.1,1.1,2003-06-22,22:00:00,73.0,290.7,15.2,N,0.0,2003-06-22 22:00:00,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0
2003-06-22 22:00:00,19.0,82.0,16.0,0.0,1011.4,950.7,50.0,0.03,0.39,4.5,16.2,21.3,21.7,17.4,12.3,0.18,0.216,0.296,0.374,1.0,639.99,7.3,2.6,4.7,29.5,30.4,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0,43.0678,-7.4387,306.6,1.1,1.1,2003-06-22,22:00:00,52.0,289.1,10.0,N,0.0,2003-06-22 22:00:00,2003.0,3.0,6.0,25,7.0,23.0,22.0,173.0
2003-06-23 22:00:00,17.3,83.0,14.5,0.0,1013.9,952.8,53.0,0.05,0.33,15.5,35.3,20.2,20.2,17.5,12.4,0.176,0.215,0.295,0.373,1.0,2535.93,12.0,5.7,6.3,64.9,31.1,2003.0,3.0,6.0,26,1.0,23.0,23.0,174.0,42.4705,-7.0644,321.1,1.7,1.3,2003-06-23,22:00:00,100.0,288.1,46.0,N,0.0,2003-06-23 22:00:00,2003.0,3.0,6.0,26,1.0,23.0,23.0,174.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,43.3427,-6.9747,346.7,1.1,1.1,2003-08-09,22:00:00,100.0,291.8,65.7,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9876,-7.1497,306.8,1.1,1.1,2003-08-09,22:00:00,69.0,290.1,9.6,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.3532,-7.13,305.8,1.1,1.0,2003-08-09,22:00:00,66.0,289.9,8.4,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9766,-7.1383,330.5,1.1,1.1,2003-08-09,22:00:00,100.0,291.4,35.2,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.1711,-6.8443,303.2,1.1,1.0,2003-08-09,22:00:00,53.0,286.5,7.2,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.1603,-6.8339,303.9,1.1,1.0,2003-08-09,22:00:00,57.0,285.2,8.3,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.162,-6.8467,316.8,1.1,1.0,2003-08-09,22:00:00,94.0,287.0,18.3,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.3514,-7.1164,312.9,1.1,1.0,2003-08-09,22:00:00,86.0,290.6,14.1,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9996,-7.091,309.5,1.1,1.1,2003-08-09,22:00:00,78.0,291.1,11.8,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
